Address,Final Clearance Date,Alderman
"5361 North 34th Street, Milwaukee, Wisconsin 53209",06-24-2022,1
"4465 North 22nd Street, Milwaukee, Wisconsin 53209",03-24-2022,1
"4576 North 28th Street, Milwaukee, Wisconsin 53209",05-11-2022,1
"4921 North 18th Street, Milwaukee, Wisconsin 53209",02-10-2022,1
"5361 North 39th Street, Milwaukee, Wisconsin 53209",02-16-2022,1
"4724 North 19th Street, Milwaukee, Wisconsin 53209",01-27-2022,1
"3929 West Fairmount Avenue, Milwaukee, Wisconsin 53209",10-11-2021,1
"5018 North 25th Street, Milwaukee, Wisconsin 53209",12-17-2021,1
"4963 North 49th Street, Milwaukee, Wisconsin 53218",10-27-2021,1
"4056 North 14th Street, Milwaukee, Wisconsin 53209",03-15-2021,1
"1339 West Lawn Avenue, Milwaukee, Wisconsin 53209",06-23-2021,1
"4112 North 24th Street, Milwaukee, Wisconsin 53209",05-19-2021,1
"5733 North 36th Street, Milwaukee, Wisconsin 53209",12-06-2019,1
"5735 North 36th Street, Milwaukee, Wisconsin 53209",12-06-2019,1
"5542 North 33rd Street, Milwaukee, Wisconsin 53209",03-01-2021,1
"5463 North 40th Street, Milwaukee, Wisconsin 53209",04-12-2021,1
"4969 North 19th Place, Milwaukee, Wisconsin 53209",04-22-2021,1
"4578 North 24th Street, Milwaukee, Wisconsin 53209",11-12-2020,1
"5357 North 34th Street A, Milwaukee, Wisconsin 53209",11-06-2020,1
"5357 North 34th Street, Milwaukee, Wisconsin 53209",11-10-2020,1
"4909 North 19th Street, Milwaukee, Wisconsin 53209",08-04-2020,1
"5540 North 41st Street, Milwaukee, Wisconsin 53209",07-06-2020,1
"4208 North 14th Street, Milwaukee, Wisconsin 53209",09-27-2019,1
"5327 North 33rd Street, Milwaukee, Wisconsin 53209",03-13-2020,1
"5529 North 36th Street A, Milwaukee, Wisconsin 53209",04-01-2020,1
"4689 North 19th Street A, Milwaukee, Wisconsin 53209",02-10-2020,1
"4689 North 19th Street, Milwaukee, Wisconsin 53209",02-10-2020,1
"1956 West Congress Street, Milwaukee, Wisconsin 53209",01-15-2020,1
"1956 West Congress Street A, Milwaukee, Wisconsin 53209",01-15-2020,1
"2732 West Villard Avenue, Milwaukee, Wisconsin 53209",03-13-2020,1
"6109 North 39th Street, Milwaukee, Wisconsin 53209",02-13-2020,1
"4859 North 36th Street, Milwaukee, Wisconsin 53209",08-21-2018,1
"4604 North 24th Street, Milwaukee, Wisconsin 53209",06-06-2018,1
"2118 West Roosevelt Drive, Milwaukee, Wisconsin 53209",03-28-2018,1
"4667 North 19th Place, Milwaukee, Wisconsin 53209",03-02-2018,1
"4667 North 19th Place A, Milwaukee, Wisconsin 53209",03-02-2018,1
